"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"D40","D","Akonto-Zahlung 50%","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","1'250.00","0.00","0.00","0.00","0.00","0 kg","","","","17.09.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung 50%","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","625.00","0.00","0.00","0.00","0.00","0 kg","","","","26.09.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung 50%","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","1'025.00","0.00","0.00","0.00","0.00","0 kg","","","","28.11.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung 50%","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","1'000.00","0.00","0.00","0.00","0.00","0 kg","","","","18.12.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung 50%","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","750.00","0.00","0.00","0.00","0.00","0 kg","","","","20.12.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung 50%","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","725.00","0.00","0.00","0.00","0.00","0 kg","","","","13.03.2024","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung 50% Auftragssumme","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","4'500.00","0.00","0.00","0.00","0.00","0 kg","","","","23.02.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung 50% Auftragssumme","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","800.00","0.00","0.00","0.00","0.00","0 kg","","","","13.04.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung 50% Erstellung/Übertragung bestehender Homepage martec.ch inkl. responsibler Modus. Pauschal","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","500.00","0.00","0.00","0.00","0.00","0 kg","","","","22.09.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung an Reparaturarbeiten","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","170.00","0.00","0.00","0.00","0.00","0 kg","","","","17.10.2016","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung (Batterie)","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","-50.00","0.00","0.00","0.00","0.00","0 kg","","","","01.09.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung für Abklärungen zu IT-Fragen und Supportleistung vor Ort am 2.11.2023","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","500.00","0.00","0.00","0.00","0.00","0 kg","","","","19.10.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung für Arbeiten seit Oktober 2015","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","3'000.00","0.00","0.00","0.00","0.00","0 kg","","","","23.09.2016","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung für Arbeiten seit Oktober 2015","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","3'000.00","0.00","0.00","0.00","0.00","0 kg","","","","23.12.2016","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D15","D","Akontozahlung für das Einrichten des Webhosting und die Installation der Website www.ann-schellenbaum.ch mit Joomla","","Dienstleistung","","","","","0","0","psch","0.00","0.00","500.00","0.00","0.00","0.00","0.00","0 kg","","","","01.09.2013","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D15","D","Akontozahlung für das Entwickeln einer Schnittstelle zwischen dem Zähler einer Solaranlage und der HTML-Ausgabe der erzeugten Leistung auf einem Bildschirm","","Dienstleistung","","","","","0","0","psch","0.00","0.00","3'000.00","0.00","0.00","0.00","0.00","0 kg","","","","15.02.2011","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung für Erweiterungen und individuelle Anpassungen Kivitendo-Installation Energiegenossenschaft Schweiz","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","2'000.00","0.00","0.00","0.00","0.00","0 kg","","","","31.05.2021","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung für Logic Board MacBook Pro","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","600.00","0.00","0.00","0.00","0.00","0 kg","","","","23.03.2016","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung für Reservation HP Z200 Workstation zu Reparaturzwecken","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","01.11.2021","xyz","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung für Upgrade Website auf Joomla 4","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","300.00","0.00","0.00","0.00","0.00","0 kg","","","","24.10.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung Kaution","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","28.07.2025","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung (kein Wechselgeld)","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0 kg","","","","03.05.2021","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung Lenovo Thinkpad X201","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","21.07.2020","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung Redesign Homepage segeln.ch","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","1'000.00","0.00","0.00","0.00","0.00","0 kg","","","","18.05.2019","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung Reparatur","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","01.12.2016","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung Reparatur ASUS Laptop","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","400.00","0.00","0.00","0.00","0.00","0 kg","","","","09.09.2022","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung Reparatur ASUS Laptop","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","400.00","0.00","0.00","0.00","0.00","0 kg","","","","24.11.2022","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung Reparatur ASUS-Laptop","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","400.00","0.00","0.00","0.00","0.00","0 kg","","","","24.08.2022","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung Upgrade Website auf Joomla 4","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","1'000.00","0.00","0.00","0.00","0.00","0 kg","","","","24.10.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung zu AU2019143","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","3'750.00","0.00","0.00","0.00","0.00","0 kg","","","","09.08.2019","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung zu AU2019143","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","5'000.00","0.00","0.00","0.00","0.00","0 kg","","","","31.12.2019","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung zu AU2019143","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","5'000.00","0.00","0.00","0.00","0.00","0 kg","","","","12.10.2020","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung zur Bestellung von 2 Mainboards","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","500.00","0.00","0.00","0.00","0.00","0 kg","","","","09.09.2022","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D40","D","Akonto-Zahlung zur Bestellung von 2 Mainboards","Artikelposition für Akonto-Rechnungen. Bitte diese Rechnungen nicht buchen, sondern nur als Entwurf ohne Rechnungsnummer speichern. Als Beschreibung &quot;Akonto&quot; zusammen mit der Auftragsnummer eintragen. Zahlungseingänge auf Akonto-Rechnungen werden erst beim Erstellen der definitiven Rechnung verbucht. Anschliessend kann der Entwurf der Akonto-Rechnung wieder gelöscht werden.","Geldbetraege","","","","","0","0","Stck","0.00","0.00","500.00","0.00","0.00","0.00","0.00","0 kg","","","","05.06.2023","","","","","","10.01.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4","W","Aktivboxen","","Peripheriegeräte neu","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0 kg","","","","11.09.2015","","","","","","17.07.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D15","D","Aktivieren der neuen Websites von handpuppen.ch, kasperli.ch und ritterspielzeug.ch inklusive Anpassung der Webserver- und DNS-Einträge etc.","","Dienstleistung","","","","","0","0","psch","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","19.12.2010","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D14","D","Aktualisieren der Compirat-Website, Flyer-Upload","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","21.12.2010","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D14","D","Aktualisieren der Compirat-Website, neue Flyer hochladen, Termine, Links","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","19.10.2014","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D14","D","Aktualisieren der Compirat-Website, neue Flyer hochladen, Termine, Links","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","20.10.2014","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D14","D","Aktualisieren der Compirat-Website, neue Kurse ab Januar 2015 eintragen, Flyers hochladen etc.","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","12.12.2014","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D14","D","Aktualisieren der Compirat-Website, neue Kurse ab Januar 2015 eintragen, Flyers hochladen etc.","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","28.02.2015","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
