"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"P12","W","1076-6319 Watt/1076-6318 Watt DLP projektor DMD chip für Benq MP612C","","Zubehör","","","","","0","0","Stck","0.00","0.00","193.55","0.00","16.81","0.00","0.00","0 kg","","","","30.11.2017","","","","","","17.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"P12","W","1076-6319 Watt/1076-6318 Watt DLP projektor DMD chip für Benq MP612C","","Zubehör","","","","","0","0","Stck","0.00","0.00","193.55","0.00","16.81","0.00","0.00","0 kg","","","","06.12.2017","","","","","","17.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002297","W","10Base-T Worgoup Ethernet Hub","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.562 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","","135","195","30","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3","D","10. bis 12.5.2010 Datenkopie auf neue Harddisk, Windows-Partition da nicht richtig heruntergefahren nochmals kopiert, Harddisks ein- und ausbauen, Partitionsgrössen auf neuer Harddisk erweitern, Backup Bilder von Compact Flash Card auf neue Harddisk kopieren","","Dienstleistung","","","","","0","0","psch","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","11.05.2010","","","","","","17.07.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9","W","10Mbit-Switch Occasion","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0 kg","","","","28.10.2008","","","","","","09.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D51","D","10% Rabatt","","Geldbetraege","","","","","0","0","psch","0.00","0.00","-410.00","0.00","0.00","0.00","0.00","0 kg","","","","29.06.2023","","","","","","06.10.2014","nein","0.00","0.00","0.00","","3Com","","","","","","","","","","",""
